timestamp,pod,cpu_millicores,memory_mib
1781126093,shiny-back-analytics-64446fcfc6-pgq9s,7,104
1781126093,shiny-back-analytics-advanced-5f898f466b-79kh4,7,64
1781126093,shiny-back-csv-6c55c674fb-prsmt,7,64
1781126093,shiny-back-csv-advanced-67699855b-mwc77,7,101
1781126093,shiny-back-map-699ffc8d4b-67whk,7,64
1781126093,shiny-back-mc-dfbdb96b-vzgqv,7,64
1781126093,shiny-back-ml-7bc58d4cb9-zd9k5,7,64
1781126093,shiny-front-654dfd9d68-hcq27,1,99
1781126093,shiny-front-analytics-5c777d8b7c-xwk8s,1,125
1781126093,shiny-front-analytics-advanced-85bddd6bc-65qxb,9,129
1781126093,shiny-front-csv-57f55fb689-675d4,1,97
1781126093,shiny-front-csv-advanced-5d6f49b579-nf5tl,1,101
1781126093,shiny-front-map-5cc665d4c9-2kp7f,1,98
1781126093,shiny-front-mc-7647b7cf8f-zl62t,1,127
1781126093,shiny-front-ml-5fc74b44fb-r6nnn,1,129
1781126093,spring-backend-5dd6794c78-pvrnh,6,338
1781126096,angular-frontend-6d48cd76f7-t6bl9,1,8
1781126096,db-5979fd8856-fxgjt,1,59
1781126096,kafka-5ffd476ddd-pw6m9,28,435
1781126096,nginx-proxy-668678f9f-hgnjt,0,2
1781126096,shiny-back-5cf78446cf-lmxmj,7,64
1781126096,shiny-back-analytics-64446fcfc6-pgq9s,7,104
1781126096,shiny-back-analytics-advanced-5f898f466b-79kh4,7,64
1781126096,shiny-back-csv-6c55c674fb-prsmt,7,64
1781126096,shiny-back-csv-advanced-67699855b-mwc77,7,101
1781126096,shiny-back-map-699ffc8d4b-67whk,7,64
1781126096,shiny-back-mc-dfbdb96b-vzgqv,7,64
1781126096,shiny-back-ml-7bc58d4cb9-zd9k5,7,64
1781126096,shiny-front-654dfd9d68-hcq27,1,99
1781126096,shiny-front-analytics-5c777d8b7c-xwk8s,1,125
1781126096,shiny-front-analytics-advanced-85bddd6bc-65qxb,9,129
1781126096,shiny-front-csv-57f55fb689-675d4,1,97
1781126096,shiny-front-csv-advanced-5d6f49b579-nf5tl,1,101
1781126096,shiny-front-map-5cc665d4c9-2kp7f,1,98
1781126096,shiny-front-mc-7647b7cf8f-zl62t,1,127
1781126096,shiny-front-ml-5fc74b44fb-r6nnn,1,129
1781126096,spring-backend-5dd6794c78-pvrnh,6,338
1781126099,angular-frontend-6d48cd76f7-t6bl9,1,8
1781126099,db-5979fd8856-fxgjt,1,59
1781126099,kafka-5ffd476ddd-pw6m9,28,435
1781126099,nginx-proxy-668678f9f-hgnjt,0,2
1781126099,shiny-back-5cf78446cf-lmxmj,7,64
1781126099,shiny-back-analytics-64446fcfc6-pgq9s,7,104
1781126099,shiny-back-analytics-advanced-5f898f466b-79kh4,7,64
1781126099,shiny-back-csv-6c55c674fb-prsmt,7,64
1781126099,shiny-back-csv-advanced-67699855b-mwc77,7,101
1781126099,shiny-back-map-699ffc8d4b-67whk,7,64
1781126099,shiny-back-mc-dfbdb96b-vzgqv,7,64
1781126099,shiny-back-ml-7bc58d4cb9-zd9k5,7,64
1781126099,shiny-front-654dfd9d68-hcq27,1,99
1781126099,shiny-front-analytics-5c777d8b7c-xwk8s,1,125
1781126099,shiny-front-analytics-advanced-85bddd6bc-65qxb,9,129
1781126099,shiny-front-csv-57f55fb689-675d4,1,97
1781126099,shiny-front-csv-advanced-5d6f49b579-nf5tl,1,101
1781126099,shiny-front-map-5cc665d4c9-2kp7f,1,98
1781126099,shiny-front-mc-7647b7cf8f-zl62t,1,127
1781126099,shiny-front-ml-5fc74b44fb-r6nnn,1,129
1781126099,spring-backend-5dd6794c78-pvrnh,6,338
1781126101,angular-frontend-6d48cd76f7-t6bl9,1,8
1781126101,db-5979fd8856-fxgjt,1,59
1781126101,kafka-5ffd476ddd-pw6m9,28,435
1781126101,nginx-proxy-668678f9f-hgnjt,0,2
1781126101,shiny-back-5cf78446cf-lmxmj,7,64
1781126101,shiny-back-analytics-64446fcfc6-pgq9s,7,104
1781126101,shiny-back-analytics-advanced-5f898f466b-79kh4,7,64
1781126101,shiny-back-csv-6c55c674fb-prsmt,7,64
1781126101,shiny-back-csv-advanced-67699855b-mwc77,7,101
1781126101,shiny-back-map-699ffc8d4b-67whk,7,64
1781126101,shiny-back-mc-dfbdb96b-vzgqv,7,64
1781126101,shiny-back-ml-7bc58d4cb9-zd9k5,7,64
1781126101,shiny-front-654dfd9d68-hcq27,1,99
1781126101,shiny-front-analytics-5c777d8b7c-xwk8s,1,125
1781126101,shiny-front-analytics-advanced-85bddd6bc-65qxb,9,129
1781126101,shiny-front-csv-57f55fb689-675d4,1,97
1781126101,shiny-front-csv-advanced-5d6f49b579-nf5tl,1,101
1781126101,shiny-front-map-5cc665d4c9-2kp7f,1,98
1781126101,shiny-front-mc-7647b7cf8f-zl62t,1,127
1781126101,shiny-front-ml-5fc74b44fb-r6nnn,1,129
1781126101,spring-backend-5dd6794c78-pvrnh,6,338
1781126104,angular-frontend-6d48cd76f7-t6bl9,2,8
1781126104,db-5979fd8856-fxgjt,1,59
1781126104,kafka-5ffd476ddd-pw6m9,24,434
1781126104,nginx-proxy-668678f9f-hgnjt,0,2
1781126104,shiny-back-5cf78446cf-lmxmj,7,64
1781126104,shiny-back-analytics-64446fcfc6-pgq9s,8,104
1781126104,shiny-back-analytics-advanced-5f898f466b-79kh4,7,64
1781126104,shiny-back-csv-6c55c674fb-prsmt,7,64
1781126104,shiny-back-csv-advanced-67699855b-mwc77,7,100
1781126104,shiny-back-map-699ffc8d4b-67whk,7,64
1781126104,shiny-back-mc-dfbdb96b-vzgqv,7,64
1781126104,shiny-back-ml-7bc58d4cb9-zd9k5,7,64
1781126104,shiny-front-654dfd9d68-hcq27,1,100
1781126104,shiny-front-analytics-5c777d8b7c-xwk8s,1,125
1781126104,shiny-front-analytics-advanced-85bddd6bc-65qxb,1,129
1781126104,shiny-front-csv-57f55fb689-675d4,1,97
1781126104,shiny-front-csv-advanced-5d6f49b579-nf5tl,1,101
1781126104,shiny-front-map-5cc665d4c9-2kp7f,1,99
1781126104,shiny-front-mc-7647b7cf8f-zl62t,1,127
1781126104,shiny-front-ml-5fc74b44fb-r6nnn,9,129
1781126104,spring-backend-5dd6794c78-pvrnh,33,339
1781126107,angular-frontend-6d48cd76f7-t6bl9,2,8
1781126107,db-5979fd8856-fxgjt,1,59
1781126107,kafka-5ffd476ddd-pw6m9,24,434
1781126107,nginx-proxy-668678f9f-hgnjt,0,2
1781126107,shiny-back-5cf78446cf-lmxmj,7,64
1781126107,shiny-back-analytics-64446fcfc6-pgq9s,8,104
1781126107,shiny-back-analytics-advanced-5f898f466b-79kh4,7,64
1781126107,shiny-back-csv-6c55c674fb-prsmt,7,64
1781126107,shiny-back-csv-advanced-67699855b-mwc77,7,100
1781126107,shiny-back-map-699ffc8d4b-67whk,7,64
1781126107,shiny-back-mc-dfbdb96b-vzgqv,7,64
1781126107,shiny-back-ml-7bc58d4cb9-zd9k5,7,64
1781126107,shiny-front-654dfd9d68-hcq27,1,100
1781126107,shiny-front-analytics-5c777d8b7c-xwk8s,1,125
1781126107,shiny-front-analytics-advanced-85bddd6bc-65qxb,1,129
1781126107,shiny-front-csv-57f55fb689-675d4,1,97
1781126107,shiny-front-csv-advanced-5d6f49b579-nf5tl,1,101
1781126107,shiny-front-map-5cc665d4c9-2kp7f,1,99
1781126107,shiny-front-mc-7647b7cf8f-zl62t,1,127
1781126107,shiny-front-ml-5fc74b44fb-r6nnn,9,129
1781126107,spring-backend-5dd6794c78-pvrnh,33,339
1781126110,angular-frontend-6d48cd76f7-t6bl9,2,8
1781126110,db-5979fd8856-fxgjt,1,59
1781126110,kafka-5ffd476ddd-pw6m9,24,434
1781126110,nginx-proxy-668678f9f-hgnjt,0,2
1781126110,shiny-back-5cf78446cf-lmxmj,7,64
1781126110,shiny-back-analytics-64446fcfc6-pgq9s,8,104
1781126110,shiny-back-analytics-advanced-5f898f466b-79kh4,7,64
1781126110,shiny-back-csv-6c55c674fb-prsmt,7,64
1781126110,shiny-back-csv-advanced-67699855b-mwc77,7,100
1781126110,shiny-back-map-699ffc8d4b-67whk,7,64
1781126110,shiny-back-mc-dfbdb96b-vzgqv,7,64
1781126110,shiny-back-ml-7bc58d4cb9-zd9k5,7,64
1781126110,shiny-front-654dfd9d68-hcq27,1,100
1781126110,shiny-front-analytics-5c777d8b7c-xwk8s,1,125
1781126110,shiny-front-analytics-advanced-85bddd6bc-65qxb,1,129
1781126110,shiny-front-csv-57f55fb689-675d4,1,97
1781126110,shiny-front-csv-advanced-5d6f49b579-nf5tl,1,101
1781126110,shiny-front-map-5cc665d4c9-2kp7f,1,99
1781126110,shiny-front-mc-7647b7cf8f-zl62t,1,127
1781126110,shiny-front-ml-5fc74b44fb-r6nnn,9,129
1781126110,spring-backend-5dd6794c78-pvrnh,33,339
1781126113,angular-frontend-6d48cd76f7-t6bl9,2,8
1781126113,db-5979fd8856-fxgjt,1,59
1781126113,kafka-5ffd476ddd-pw6m9,24,434
1781126113,nginx-proxy-668678f9f-hgnjt,0,2
1781126113,shiny-back-5cf78446cf-lmxmj,7,64
1781126113,shiny-back-analytics-64446fcfc6-pgq9s,8,104
1781126113,shiny-back-analytics-advanced-5f898f466b-79kh4,7,64
1781126113,shiny-back-csv-6c55c674fb-prsmt,7,64
1781126113,shiny-back-csv-advanced-67699855b-mwc77,7,100
1781126113,shiny-back-map-699ffc8d4b-67whk,7,64
1781126113,shiny-back-mc-dfbdb96b-vzgqv,7,64
1781126113,shiny-back-ml-7bc58d4cb9-zd9k5,7,64
1781126113,shiny-front-654dfd9d68-hcq27,1,100
1781126113,shiny-front-analytics-5c777d8b7c-xwk8s,1,125
1781126113,shiny-front-analytics-advanced-85bddd6bc-65qxb,1,129
1781126113,shiny-front-csv-57f55fb689-675d4,1,97
1781126113,shiny-front-csv-advanced-5d6f49b579-nf5tl,1,101
1781126113,shiny-front-map-5cc665d4c9-2kp7f,1,99
1781126113,shiny-front-mc-7647b7cf8f-zl62t,1,127
1781126113,shiny-front-ml-5fc74b44fb-r6nnn,9,129
1781126113,spring-backend-5dd6794c78-pvrnh,33,339
1781126116,angular-frontend-6d48cd76f7-t6bl9,2,8
1781126116,db-5979fd8856-fxgjt,1,59
1781126116,kafka-5ffd476ddd-pw6m9,24,434
1781126116,nginx-proxy-668678f9f-hgnjt,0,2
1781126116,shiny-back-5cf78446cf-lmxmj,7,64
1781126116,shiny-back-analytics-64446fcfc6-pgq9s,8,104
1781126116,shiny-back-analytics-advanced-5f898f466b-79kh4,7,64
1781126116,shiny-back-csv-6c55c674fb-prsmt,7,64
1781126116,shiny-back-csv-advanced-67699855b-mwc77,7,100
1781126116,shiny-back-map-699ffc8d4b-67whk,7,64
1781126116,shiny-back-mc-dfbdb96b-vzgqv,7,64
1781126116,shiny-back-ml-7bc58d4cb9-zd9k5,7,64
1781126116,shiny-front-654dfd9d68-hcq27,1,100
1781126116,shiny-front-analytics-5c777d8b7c-xwk8s,1,125
1781126116,shiny-front-analytics-advanced-85bddd6bc-65qxb,1,129
1781126116,shiny-front-csv-57f55fb689-675d4,1,97
1781126116,shiny-front-csv-advanced-5d6f49b579-nf5tl,1,101
1781126116,shiny-front-map-5cc665d4c9-2kp7f,1,99
1781126116,shiny-front-mc-7647b7cf8f-zl62t,1,127
1781126116,shiny-front-ml-5fc74b44fb-r6nnn,9,129
